Ticket,NF,Data Ocorrência,Ocorrência,Parceiro, Valor , Produto , Emissão ,Quantidade,Categoria Produto,UF,SKU
#47705,45183,12/08/2025,Avaria,Movvi," R$  185,07 ",PAINEL SOLAR FOTOVOLTAICO ZTROON ZTP-100MI (100WP),2025-08-07,1,Painel 100 Wp,MG,24459
#47651,44820,08/08/2025,Avaria,Movvi," R$  651,40 ",PAINEL SOLAR FOTOVOLTAICO ZNSHINE ZXMR-UHLD132 -565/N MONO (565WP),2025-08-04,2,Painel 565 Wp,,24968
#47672,44633,11/08/2025,Avaria,Tecmar," R$  589,00 ",PAINEL SOLAR FOTOVOLTAICO DAH SOLAR DHN-66Z16/DG TOPCON BIFACIAL (620WP),2025-08-01,1,Painel 620 Wp,SC,
#47773,44634,14/08/2025,Avaria,Movvi," R$  640,77 ",PAINEL SOLAR FOTOVOLTAICO DAH DHJ-66Y18-DG (700WP),2025-08-01,2,Painel 700 Wp,RJ,24888
#47694,44231,12/08/2025,Avaria,TransWells," R$  589,00 ",PAINEL SOLAR FOTOVOLTAICO DAH SOLAR DHN-66Z16/DG TOPCON BIFACIAL (620WP),2025-07-29,1,Painel 620 Wp,SP,
#47582,44311,05/08/2025,Avaria,Movvi," R$  1.465,87 ",PAINEL SOLAR FOTOVOLTAICO DAH DHJ-66Y18-DG (700WP),2025-07-29,2,Painel 700 Wp,SP,24888
#47472,44255,31/07/2025,Avaria,TXT," R$  204,34 ",PAINEL SOLAR FOTOVOLTAICO ZTROON ZTP160M (160WP),2025-07-29,1,Painel 160 Wp,SP,22001
#47582,44311,05/08/2025,Avaria,Movvi," R$  1.465,87 ",PAINEL SOLAR FOTOVOLTAICO DAH DHJ-66Y18-DG (700WP),2025-07-29,2,Painel 700 Wp,SP,24888
#47799,44333,14/08/2025,Avaria,Capivari," R$  588,72 ",PAINEL SOLAR FOTOVOLTAICO DAH DHJ-66Y18-DG (700WP),2025-07-29,1,Painel 700 Wp,PE,24888
#47701,44270,12/08/2025,Avaria,Gran Cargo," R$  1.530,88 ",PAINEL SOLAR FOTOVOLTAICO DAH SOLAR DHN-66Z16/DG TOPCON BIFACIAL (620WP),2025-07-29,4,Painel 620 Wp,GO,
#47780,44325,14/08/2025,Avaria,Tecmar," R$  588,72 ",PAINEL SOLAR FOTOVOLTAICO DAH DHJ-66Y18-DG (700WP),2025-07-29,1,Painel 700 Wp,CE,24888
#47782,44249,14/08/2025,Avaria,Tecmar," R$  589,00 ",PAINEL SOLAR FOTOVOLTAICO DAH SOLAR DHN-66Z16/DG TOPCON BIFACIAL (620WP),2025-07-29,1,Painel 620 Wp,SE,
#47701,44156,12/08/2025,Avaria,Gran Cargo," R$  1.530,88 ",PAINEL SOLAR FOTOVOLTAICO DAH SOLAR DHN-66Z16/DG TOPCON BIFACIAL (620WP),2025-07-28,4,Painel 620 Wp,,
#47614,43855,06/08/2025,Avaria,TNT," R$  175,99 ",PAINEL SOLAR FOTOVOLTAICO ZTROON ZTP-100MI (100WP),2025-07-24,1,Painel 100 WP,SC,24459
#47574,43865,05/08/2025,Avaria,Tecmar," R$  547,77 ",PAINEL SOLAR FOTOVOLTAICO DAH SOLAR DHN-66Z16/DG TOPCON BIFACIAL (620WP),2025-07-24,1,Painel 620 Wp,SC,
#47587,43907,05/08/2025,Avaria,Movvi," R$  397,53 ",PAINEL SOLAR FOTOVOLTAICO DAH SOLAR DHN-66Z16/DG TOPCON BIFACIAL (620WP),2025-07-24,1,Painel 620 Wp,MG,
sem desk,43909,31/07/2025,Avaria,Capivari," R$  420,46 ",PAINEL SOLAR FOTOVOLTAICO DAH SOLAR DHN-66Z16/DG TOPCON BIFACIAL (620WP),2025-07-24,1,Painel 620 Wp,MG,
#47543,43780,04/08/2025,Avaria,Movvi," R$  417,50 ",PAINEL SOLAR FOTOVOLTAICO ZTROON ZTP-340M (340WP),2025-07-23,1,Painel 340 Wp,MG,23169
#47749,43751,14/08/2025,Avaria,GOLLOG," R$  269,00 ",PAINEL SOLAR FOTOVOLTAICO ZTROON ZTP-160MI (160WP),2025-07-23,1,Painel 160 Wp,RR,24465
#47648,43782,08/08/2025,Avaria,Tecmar," R$  671,08 ",PAINEL SOLAR FOTOVOLTAICO DAH SOLAR DHN-66Z16/DG TOPCON BIFACIAL (620WP),2025-07-23,1,Painel 620 Wp,RS,
#47621,43617,06/08/2025,Avaria,Tecmar," R$  539,10 ",PAINEL SOLAR FOTOVOLTAICO DAH SOLAR DHN-66Z16/DG TOPCON BIFACIAL (620WP),2025-07-22,1,Painel 620 Wp,BA,
#47406,43648,29/07/2025,Avaria,Movvi," R$  532,53 ",PAINEL SOLAR FOTOVOLTAICO ZNSHINE ZXMR-UHLD132 -565/N MONO (565WP),2025-07-22,1,Painel 565 Wp,MG,24968
#47658,43489,08/08/2025,Avaria,Tecmar," R$  509,44 ",PAINEL SOLAR FOTOVOLTAICO DAH SOLAR DHN-66Z16/DG TOPCON BIFACIAL (620WP),2025-07-21,1,Painel 620 Wp,SC,
#47498,43500,01/08/2025,Avaria,Braspress," R$  268,77 ",PAINEL SOLAR FOTOVOLTAICO LONGI LR5-28HTH-225M BACK CONTACT (225WP),2025-07-21,1,Painel 225 Wp,BA,24095
#47420,43593,30/07/2025,Avaria,Tecmar," R$  574,22 ",PAINEL SOLAR FOTOVOLTAICO ZNSHINE ZXMR-UHLD132 -565/N MONO (565WP),2025-07-21,1,Painel 565 Wp,PR,24968
#47401,43418,29/07/2025,Avaria,Movvi," R$  764,76 ",PAINEL SOLAR FOTOVOLTAICO DAH SOLAR DHN-66Z16/DG TOPCON BIFACIAL (620WP),2025-07-18,2,Painel 620 Wp,SP,
#47218,43127,22/07/2025,Avaria,TransWells," R$  579,00 ",PAINEL SOLAR FOTOVOLTAICO DAH SOLAR DHN-66Z16/DG TOPCON BIFACIAL (620WP),2025-07-16,1,Painel 620 Wp,RJ,
#47145,42864,18/07/2025,Avaria,GOLLOG," R$  459,00 ",PAINEL SOLAR FOTOVOLTAICO ZTROON ZTP-340M (340WP),2025-07-14,1,Painel 340 Wp,RJ,23169
#47281,42690,24/07/2025,Avaria,Alfa," R$  335,85 ",PAINEL SOLAR FOTOVOLTAICO LONGI LR5-54HTH-435M BACK CONTACT (435WP),2025-07-10,1,Painel 435 Wp,SP,23887
#47231,42600,22/07/2025,Avaria,Rio Vermelho," R$  341,78 ",PAINEL SOLAR FOTOVOLTAICO ZTROON ZTP-340M (340WP),2025-07-10,1,Painel 340 Wp,GO,23169
#47496,42457,01/08/2025,Avaria,Braspress," R$  201,52 ",PAINEL SOLAR FOTOVOLTAICO ZTROON ZTP-160MI (160WP),2025-07-08,1,Painel 160 Wp,SP,24465
#47198,42470,22/07/2025,Avaria,Gran Cargo," R$  1.020,00 ",PAINEL SOLAR FOTOVOLTAICO ZNSHINE ZXMR-UHLD132 -565/N MONO (565WP),2025-07-08,3,Painel 565 Wp,MG,24968
#47032,42419,14/07/2025,Avaria,Braspress," R$  588,00 ",PAINEL SOLAR FOTOVOLTAICO LONGI LR5-28HTH-225M BACK CONTACT (225WP),2025-07-08,2,Painel 225 Wp,RJ,24095
#47138,42234,18/07/2025,Avaria,Tecmar," R$  380,94 ",PAINEL SOLAR FOTOVOLTAICO SUNOVA SS-610-66MDH-G11(T) TOPCON (610WP),2025-07-04,1,Painel 610 Wp,SC,24290
#46966,42277,15/07/2025,Extravio,TransWells," R$  933,08 ",PERFIL REFORCADO 240CM PARA 1 PAINEL SOLAR SYSTEM ,2025-07-04,20,Estrutura,SP,
#47067,42223,15/07/2025,Avaria,Gran Cargo," R$  1.136,12 ",PAINEL SOLAR FOTOVOLTAICO SUNOVA SS-610-66MDH-G11(T) TOPCON (610WP),2025-07-04,2,Painel 610 Wp,DF,24290
#47337,42268,28/07/2025,Avaria,Rio Vermelho," R$  381,51 ",PAINEL SOLAR FOTOVOLTAICO SUNOVA SS-610-66MDH-G11(T) TOPCON (610WP),2025-07-04,1,Painel 610 Wp,MG,24290
